(0000) 3000  0011000000000000 (   8)                 .ORIG x3000
(3000) E4FF  1110010011111111 (  10)                 LEA   R2 x3100
(3001) 6280  0110001010000000 (  11)                 LDR   R1 R2 #0
(3002) 6681  0110011010000001 (  12)                 LDR   R3 R2 #1
(3003) 1843  0001100001000011 (  15)                 ADD   R4 R1 R3
(3004) 7882  0111100010000010 (  16)                 STR   R4 R2 #2
(3005) 5843  0101100001000011 (  19)                 AND   R4 R1 R3
(3006) 7883  0111100010000011 (  20)                 STR   R4 R2 #3
(3007) 9A7F  1001101001111111 (  23)                 NOT   R5 R1
(3008) 9CFF  1001110011111111 (  24)                 NOT   R6 R3
(3009) 5946  0101100101000110 (  25)                 AND   R4 R5 R6
(300A) 993F  1001100100111111 (  26)                 NOT   R4 R4
(300B) 7884  0111100010000100 (  27)                 STR   R4 R2 #4
(300C) 987F  1001100001111111 (  30)                 NOT   R4 R1
(300D) 7885  0111100010000101 (  31)                 STR   R4 R2 #5
(300E) 98FF  1001100011111111 (  34)                 NOT   R4 R3
(300F) 7886  0111100010000110 (  35)                 STR   R4 R2 #6
(3010) 1863  0001100001100011 (  38)                 ADD   R4 R1 #3
(3011) 7887  0111100010000111 (  39)                 STR   R4 R2 #7
(3012) 18FD  0001100011111101 (  42)                 ADD   R4 R3 #-3
(3013) 7888  0111100010001000 (  43)                 STR   R4 R2 #8
(3014) 5861  0101100001100001 (  46)                 AND   R4 R1 #1
(3015) 7889  0111100010001001 (  47)                 STR   R4 R2 #9
(3016) F025  1111000000100101 (  49)                 TRAP  x25
